any,cif,nom,quantia,tipus_subvencio
2022,G46996443,46020595,36354.24,A_escoles_no_formals
2022,G96680772,46024618,10639.67,A_escoles_no_formals
2022,G12452090,12008201,23202.53,A_escoles_no_formals
2022,G46172391,46028144,4990.31,A_escoles_no_formals
2022,G46057725,46020601,63111.13,A_escoles_no_formals
2022,G46102497,46019911,80194.37,A_escoles_no_formals
2022,G12419362,12006721,14167.47,A_escoles_no_formals
2022,G03957214,03013820,61474.52,A_escoles_no_formals
2022,G03106903,03013406,21421.81,A_escoles_no_formals
2022,G03668613,03020851,19492.12,A_escoles_no_formals
2022,G46191391,46020856,19777.71,A_escoles_no_formals
2022,G46121174,46032007,24092.54,A_escoles_no_formals
2022,G46563771,46028156,16084.18,A_escoles_no_formals
2022,G96293840,46022750,43648.55,A_escoles_no_formals
2022,G03141926,03016043,10312.19,A_escoles_no_formals
2022,G46174405,46021061,33131.78,A_escoles_no_formals
2022,G46171757,46023754,19553.27,A_escoles_no_formals
2022,G46171815,46023766,24260.84,A_escoles_no_formals
2022,G46172169,46036165,31794.02,A_escoles_no_formals
2022,G53045134,03017540,39097.86,A_escoles_no_formals
2022,G53443024,03015440,48474.81,A_escoles_no_formals
2022,G03243771,03013960,18354.66,A_escoles_no_formals
2022,G96399704,46019970,33054.86,A_escoles_no_formals
2022,G96902705,46021046,16473.76,A_escoles_no_formals
2022,G12511382,12005325,19067.85,A_escoles_no_formals
2022,G12894317,12005696,32098.68,A_escoles_no_formals
2022,G12385340,12008341,31009.91,A_escoles_no_formals
2022,R4600418J,12007929,8039.7,A_escoles_no_formals
2022,V96915566,46023778,24500.07,A_escoles_no_formals
2022,G46113742,46021496,44145.77,A_escoles_no_formals
2022,G46351367,46025301,13016.19,A_escoles_no_formals
2022,G12384905,12005702,10378.38,A_escoles_no_formals
2022,G03111986,03015701,49318.26,A_escoles_no_formals
2022,G12225595,12006019,11325.04,A_escoles_no_formals
2022,G46174389,46036098,13586.46,A_escoles_no_formals
2022,G96518089,46021587,70684.76,A_escoles_no_formals
2022,G46206355,46022063,46517.97,A_escoles_no_formals
2022,G12508206,12005817,24036.07,A_escoles_no_formals
2022,G46150843,46035495,32097.98,A_escoles_no_formals
2022,G46168001,46036566,15013.37,A_escoles_no_formals
2022,G12626933,12006226,8939.36,A_escoles_no_formals
2022,G03101649,03014307,20430.47,A_escoles_no_formals
2022,G03188679,03013996,25609.77,A_escoles_no_formals
2022,G98573967,46021289,43686.78,A_escoles_no_formals
2022,G96364336,46020923,8650.2,A_escoles_no_formals
2022,G53284246,03014976,25966.08,A_escoles_no_formals
2022,G53077335,03014228,45920.41,A_escoles_no_formals
2022,G46150793,46034508,15818.31,A_escoles_no_formals
2022,G46086401,46021149,40255.98,A_escoles_no_formals
2022,G46339180,46026226,20873.63,A_escoles_no_formals
2022,G53411120,03015403,7198.69,A_escoles_no_formals
2022,G03999760,03013844,42692.62,A_escoles_no_formals
2022,G03100625,03015713,14687.8,A_escoles_no_formals
2022,G97369425,46026861,11978.09,A_escoles_no_formals
2022,G46558409,46026871,59607.82,A_escoles_no_formals
2022,G96581376,46021514,19977.08,A_escoles_no_formals
2022,G97031173,46024621,16309.36,A_escoles_no_formals
2022,G54442165,03018891,14869.63,A_escoles_no_formals
