any,nom,cif,quantia,tipus_subvencio
2024,ALGUEÑA ALGUEÑENSE MUSICAL UNIÓN UNION SOCIEDAD,G03521218,1853.6,A_escoles_no_formals
2024,ALMASSERA MUSICAL ESTUDIO CENTRO,V46065348,22177.1,A_escoles_no_formals
2024,ALMASSERA MUSICAL ARTÍSTICA UNIÓN ASOC. D'ALMASSERA ARTISTICA UNIO CULTURAL ASOC,G98167570,14742.43,A_escoles_no_formals
2024,ALMASSORA MANRIQUE AGUT MESTRE ESMERALDA MUSICAL INSTRUCTIVO UNION,G12039392,92190.3,A_escoles_no_formals
2024,ALMENARA SI-FA-SOL CECILIA SANTA MUSICAL ASOCIACION,G12205936,26524.53,A_escoles_no_formals
2024,ALMOINES L'ALMOINA MUSICAL ASOCIACIÓN ASSOCIACIO,G46937306,18573.64,A_escoles_no_formals
2024,ALMORADI MUSICAL UNIÓN UNION,G03103462,52009.1,A_escoles_no_formals
2024,COMTESSA(L') ALQUERIA comt l'alqueria,G97019186,13850.29,A_escoles_no_formals
2024,"PERDIDO NIÑO DEL ALQUERIAS BONRETORN ""BONRETORN"" CULTURAL ASOC",G12491643,22114.97,A_escoles_no_formals
2024,ALTEA D'ALTEA ALTEANENSE FILHARMONICA SOCIETAT,G03100609,62581.95,A_escoles_no_formals
2024,ALTURA CULTURAL MUSICAL UNIÓN UNION,G12036166,24978.94,A_escoles_no_formals
2024,ALZIRA MUSICAL SOCIEDAD EDUCANDOS,G46094736,54053.34,A_escoles_no_formals
2024,ANNA MARÍN MAESTRO ARTISTICA NUEVA MUSICAL SOCIEDAD,V46172540,16700.9,A_escoles_no_formals
2024,ANTELLA PROTECTORA ASSOCIACIO,G96470695,6807.24,A_escoles_no_formals
2024,ARTANA ARTANENSE MUSICAL UNIÓ UNION,G12035762,9184.73,A_escoles_no_formals
2024,ASPE ALCOLEA MAESTRO GILABERT MUSICAL ATENEO,G03230935,37429.54,A_escoles_no_formals
2024,ASPE ESPERANZA MUSICAL ASOCIACION,G54767744,36420.09,A_escoles_no_formals
2024,ASPE NIEVES LAS VIRGEN CULT. CULTURAL SOC.MUSICAL,G54356746,10216.96,A_escoles_no_formals
