any,nom,cif,quantia,tipus_subvencio
2024,"44.551,08 BORJA FRANCISCO SAN MUSICAL UNION",G46172664,44551.08,B_conservatoris_centres_autoritzats
2024,"53.581,83 PEDREGUER AJUNTAMENT",P0310100C,53581.83,B_conservatoris_centres_autoritzats
2024,"146.301,09 MARIOLA BANYERES AJUNTAMENT",P0302100C,146301.09,B_conservatoris_centres_autoritzats
2024,"47.498,71 BENIMELI AYUNTAMIENTO",P0304000C,47498.71,B_conservatoris_centres_autoritzats
2024,"154.218,36 BURRIANA AYUNTAMIENTO",P1203200I,154218.36,B_conservatoris_centres_autoritzats
2024,"23.948,35 BORJA FRANCISCO SAN MUSICAL UNION",G46172664,23948.35,B_conservatoris_centres_autoritzats
2024,"1.061,36 ALSINA CENTRO MUSICAL ASOC",G96798533,1061.36,B_conservatoris_centres_autoritzats
2024,"19.851,06 MONCADA MUSICAL ARTISTICO CENTRO",V46065298,19851.06,B_conservatoris_centres_autoritzats
2024,"24.689,25 CULLERA MUSICAL ATENEO SOCIEDAD",G46086401,24689.25,B_conservatoris_centres_autoritzats
2024,"523.500,00 TÚRIA RIBA-ROJA AYUNTAMIENTO",P4621600H,523500.0,B_conservatoris_centres_autoritzats
2024,"209.693,78 BENIDORM AYUNTAMIENTO",P0303100B,209693.78,B_conservatoris_centres_autoritzats
2024,"202.559,19 ALCOY AYUNTAMIENTO",P0300900H,202559.19,B_conservatoris_centres_autoritzats
2024,"35.339,00 ONDA CECILIA SANTA MUSICAL UNION",G12039145,35339.0,B_conservatoris_centres_autoritzats
2024,"9.582,00 COOP CABANILLES MUSICAL",F46688776,9582.0,B_conservatoris_centres_autoritzats
2024,CULTURAL ASOCIACION VIVENDI MODUS,G05492707,,B_conservatoris_centres_autoritzats
